Year,state,minimumWage
2013,Alabama,0
2013,Alaska,8.33
2013,Arizona,8.38
2013,Arkansas,6.72
2013,California,8.6
2013,Colorado,8.36
2013,Connecticut,8.87
2013,Delaware,7.79
2013,District of Columbia,8.87
2013,Federal (FLSA),7.79
2013,Florida,8.37
2013,Georgia,5.54
2013,Guam,7.79
2013,Hawaii,7.79
2013,Idaho,7.79
2013,Illinois,8.87
2013,Indiana,7.79
2013,Iowa,7.79
2013,Kansas,7.79
2013,Kentucky,7.79
2013,Louisiana,0
2013,Maine,8.06
2013,Maryland,7.79
2013,Massachusetts,8.6
2013,Michigan,7.95
2013,Minnesota,5.64
2013,Mississippi,0
2013,Missouri,7.9
2013,Montana,4.3
2013,Nebraska,7.79
2013,Nevada,7.79
2013,New Hampshire,7.79
2013,New Jersey,7.79
2013,New Mexico,8.06
2013,New York,7.79
2013,North Carolina,7.79
2013,North Dakota,7.79
2013,Ohio,8.44
2013,Oklahoma,2.15
2013,Oregon,9.62
2013,Pennsylvania,7.79
2013,Puerto Rico,5.46
2013,Rhode Island,8.33
2013,South Carolina,0
2013,South Dakota,7.79
2013,Tennessee,0
2013,Texas,7.79
2013,U.S. Virgin Islands,4.62
2013,Utah,7.79
2013,Vermont,9.24
2013,Virginia,7.79
2013,Washington,9.88
2013,West Virginia,7.79
2013,Wisconsin,7.79
2013,Wyoming,5.54
