state,minimumWage
Alabama,0
Alaska,10.01
Arizona,10.22
Arkansas,8.68
California,10.22
Colorado,9.5
Connecticut,10.32
Delaware,8.43
District of Columbia,11.75
Federal (FLSA),7.41
Florida,8.27
Georgia,5.26
Guam,8.43
Hawaii,9.45
Idaho,7.41
Illinois,8.43
Indiana,7.41
Iowa,7.41
Kansas,7.41
Kentucky,7.41
Louisiana,0
Maine,9.19
Maryland,8.94
Massachusetts,11.24
Michigan,9.09
Minnesota,7.92
Mississippi,0
Missouri,7.87
Montana,8.33
Nebraska,9.19
Nevada,7.41
New Hampshire,7.41
New Jersey,8.62
New Mexico,7.66
New York,9.91
North Carolina,7.41
North Dakota,7.41
Ohio,8.33
Oklahoma,2.04
Oregon,9.96
Pennsylvania,7.41
Puerto Rico,5.19
Rhode Island,9.81
South Carolina,0
South Dakota,8.84
Tennessee,0
Texas,7.41
U.S. Virgin Islands,4.39
Utah,7.41
Vermont,10.22
Virginia,7.41
Washington,11.24
West Virginia,8.94
Wisconsin,7.41
Wyoming,5.26
