Year,state,minimumWage
2010,Alabama,0
2010,Alaska,8.9
2010,Arizona,8.33
2010,Arkansas,7.18
2010,California,9.19
2010,Colorado,8.31
2010,Connecticut,9.47
2010,Delaware,8.33
2010,District of Columbia,9.47
2010,Federal (FLSA),8.33
2010,Florida,8.33
2010,Georgia,5.91
2010,Guam,8.33
2010,Hawaii,8.33
2010,Idaho,8.33
2010,Illinois,9.19
2010,Indiana,8.33
2010,Iowa,8.33
2010,Kansas,8.33
2010,Kentucky,8.33
2010,Louisiana,0
2010,Maine,8.61
2010,Maryland,8.33
2010,Massachusetts,9.19
2010,Michigan,8.5
2010,Minnesota,6.03
2010,Mississippi,0
2010,Missouri,8.33
2010,Montana,4.59
2010,Nebraska,8.33
2010,Nevada,7.52
2010,New Hampshire,8.33
2010,New Jersey,8.33
2010,New Mexico,8.61
2010,New York,8.33
2010,North Carolina,8.33
2010,North Dakota,8.33
2010,Ohio,8.38
2010,Oklahoma,2.3
2010,Oregon,9.65
2010,Pennsylvania,8.33
2010,Puerto Rico,5.83
2010,Rhode Island,8.5
2010,South Carolina,0
2010,South Dakota,8.33
2010,Tennessee,0
2010,Texas,8.33
2010,U.S. Virgin Islands,4.94
2010,Utah,8.33
2010,Vermont,9.26
2010,Virginia,8.33
2010,Washington,9.82
2010,West Virginia,8.33
2010,Wisconsin,8.33
2010,Wyoming,5.91
