state,minimumWage
Alabama,0
Alaska,8.88
Arizona,0
Arkansas,6.4
California,8.38
Colorado,6.4
Connecticut,9.19
Delaware,7.64
District of Columbia,8.69
Federal (FLSA),6.4
Florida,7.95
Georgia,6.4
Guam,6.4
Hawaii,8.38
Idaho,6.4
Illinois,8.07
Indiana,6.4
Iowa,6.4
Kansas,3.29
Kentucky,6.4
Louisiana,0
Maine,8.07
Maryland,6.4
Massachusetts,8.38
Michigan,6.4
Minnesota,6.52
Mississippi,0
Missouri,6.4
Montana,4.97
Nebraska,6.4
Nevada,6.4
New Hampshire,6.4
New Jersey,7.64
New Mexico,6.4
New York,8.38
North Carolina,6.4
North Dakota,6.4
Ohio,3.48
Oklahoma,2.48
Oregon,9.32
Pennsylvania,6.4
Puerto Rico,4.48
Rhode Island,8.38
South Carolina,0
South Dakota,6.4
Tennessee,0
Texas,6.4
U.S. Virgin Islands,5.34
Utah,6.4
Vermont,9.01
Virginia,6.4
Washington,9.48
West Virginia,6.4
Wisconsin,7.08
Wyoming,6.4
